date,polarization,volume,sentiment_mean
2024-01-01,0.6542,416,-0.0242
2024-01-08,0.6276,227,0.0061
2024-01-15,0.6012,1451,0.0966
2024-01-22,0.5738,1327,-0.1826
2024-01-29,0.5258,1305,-0.0859
2024-02-05,0.47,1664,-0.2871
2024-02-12,0.439,1447,0.0411
2024-02-19,0.4344,416,0.1164
2024-02-26,0.437,1989,-0.2472
2024-03-04,0.4182,229,-0.3943
2024-03-11,0.3839,601,-0.0608
2024-03-18,0.3526,792,-0.175
2024-03-25,0.3792,996,-0.1162
2024-04-01,0.3564,997,-0.1155
2024-04-08,0.3751,492,-0.1274
2024-04-15,0.407,1580,-0.1933
2024-04-22,0.4072,413,-0.3598
2024-04-29,0.4331,125,-0.2014
2024-05-06,0.4342,1450,-0.022
2024-05-13,0.4279,921,-0.1745
2024-05-20,0.3923,1314,-0.1819
2024-05-27,0.3912,1121,-0.0936
2024-06-03,0.3235,163,0.1405
2024-06-10,0.2884,1167,-0.2671
2024-06-17,0.2384,774,0.0926
2024-06-24,0.2538,164,-0.1819
2024-07-01,0.2755,1278,0.1928
2024-07-08,0.264,1977,-0.2123
2024-07-15,0.2415,344,-0.0509
2024-07-22,0.2083,889,0.4893
2024-07-29,0.21,1198,0.0081
2024-08-05,0.1888,529,0.1134
2024-08-12,0.1888,1734,-0.1822
2024-08-19,0.1574,1076,0.13
2024-08-26,0.145,147,0.1581
2024-09-02,0.1287,739,0.0659
2024-09-09,0.1375,898,-0.2814
2024-09-16,0.1465,421,-0.3277
2024-09-23,0.184,1527,-0.411
2024-09-30,0.204,521,-0.3684
2024-10-07,0.182,1388,0.1701
2024-10-14,0.1732,1458,-0.1929
2024-10-21,0.1641,1707,-0.2381
2024-10-28,0.1496,835,-0.4062
2024-11-04,0.1336,214,0.2197
2024-11-11,0.1503,1908,-0.2407
2024-11-18,0.1451,1907,0.1364
2024-11-25,0.1327,1027,-0.2613
2024-12-02,0.0737,575,-0.1956
2024-12-09,0.057,1398,-0.0303
2024-12-16,0.0673,826,-0.2046
2024-12-23,0.0551,1317,-0.3451
